TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
o	m	['a', 'k']	F02_O	F02_N	8575	23805	22858
n	ɲ	['i', 'd']	M08_N	F02_N	8600	9743	4391
ə	l	['k', 'd']	F06_O	F02_N	8642	5893	23938
l	ə	['k', 'k']	F06_O	F01_N	8779	13300	16051
ɛ	k	['s', 'ɛ']	M07_N	M10_O	9391	25708	25165
k	y	['d', 'i']	M07_O	F01_O	9413	8961	17871
ə	j	['d', 'ɔ']	M10_O	F05_N	9442	21133	20518
ʃ	b	['ə', 'ɛ']	M01_O	F05_N	9500	14384	24463
ʒ	ɲ	['a', 'i']	F02_N	F05_N	9524	22722	25680
k	e	['i', 'k']	M10_O	M07_N	9610	15878	24114
o	ø	['p', 'd']	M02_O	F02_N	9920	7076	24427
o	k	['a', 't']	M10_N	F03_O	9931	45	21887
m	ɲ	['ɛ', 'd']	M01_O	M02_O	9959	5358	18138
a	ʃ	['u', 'k']	F06_O	M04_O	10089	25720	7804
l	ø	['p', 'd']	F06_N	F05_N	10189	21988	13033
ʁ	ɔ	['i', 'b']	M07_N	F10_O	10200	22349	21587
t	ɲ	['i', 'd']	F01_N	F06_N	10377	20521	25443
p	ɡ	['ɛ', 'ɛ']	F05_N	F02_O	10453	1888	22689
s	ɡ	['i', 'a']	F02_O	M02_O	10516	21122	24795
l	ɛ	['ɛ', 'd']	M07_N	F10_O	10619	14535	25001
f	ɛ	['s', 'ɛ']	F01_O	M07_O	10710	14910	18571
d	i	['k', 'e']	F06_O	F03_O	10897	18941	23987
o	t	['ɛ', 's']	F01_O	M10_N	10939	15090	14191
ɔ	s	['k', 't']	M02_O	F06_N	10943	24598	14827
ʒ	ʃ	['e', 'u']	F03_O	M10_N	11098	17814	20629
i	d	['k', 'e']	M02_O	F02_O	11141	16733	20435
k	a	['i', 'a']	F05_N	F02_N	11147	25919	25755
ʃ	z	['i', 'a']	M01_O	F02_O	11249	7392	18654
e	w	['ʃ', 'a']	M04_O	F01_O	11270	23482	20346
e	ʒ	['a', 't']	F10_O	M10_O	11413	340	15789
p	ɛ	['ɔ', 't']	M10_N	F03_O	11527	23262	17434
m	ɛ	['s', 'ɛ']	F01_O	F06_N	11579	18148	24823
ø	j	['d', 'ɔ']	M07_N	M02_O	11717	24901	18444
e	z	['ø', 't']	F02_O	M02_O	11742	6671	5008
v	ɡ	['i', 'e']	F01_N	F03_O	11775	24303	23804
ʃ	a	['u', 'k']	F06_O	M07_N	11844	10089	18684
s	o	['t', 'a']	F01_O	M04_O	11954	8359	20528
t	z	['o', 'ɛ']	F10_O	M07_O	12009	24422	25749
s	ɛ	['u', 's']	F03_O	F02_N	12051	563	3581
z	b	['o', 'a']	M04_O	M01_O	12069	14852	21126
ɛ	s	['k', 'k']	F10_O	F05_N	12104	20063	6693
a	f	['e', 'ɛ']	F02_O	F06_O	12197	25617	22699
u	l	['k', 'd']	F06_O	F01_O	12289	17195	25531
ə	j	['k', 'e']	M01_O	M04_O	12381	2333	12462
l	n	['ɔ', 'ɔ']	M07_N	M10_O	12506	19276	25644
y	t	['u', 's']	M10_O	F01_N	12549	15468	19600
ø	ɔ	['p', 't']	F02_O	F03_O	12847	24960	25442
ɡ	l	['ɛ', 'z']	M04_O	F02_N	13073	876	25495
f	j	['i', 'a']	F10_O	M07_O	13121	25006	17076
ə	l	['k', 'k']	F06_O	M04_O	13300	8779	19093
l	y	['ɡ', 'i']	F01_O	F02_O	13553	4331	24762
ɡ	m	['o', 'u']	F03_O	F01_O	13619	12690	8419
s	ɡ	['i', 'e']	F03_O	M08_N	13646	15387	25190
v	ʃ	['ə', 'ə']	M01_O	F02_N	13764	12036	24988
e	ɛ	['v', 'e']	F06_O	M04_O	13778	7492	24708
p	o	['ɛ', 't']	F02_O	F02_N	14250	1290	25840
b	ʃ	['ə', 'ɛ']	M01_O	F02_O	14384	9500	22251
w	e	['ʃ', 'a']	F01_O	M04_O	14437	20346	23482
s	ɔ	['ɛ', 'p']	M07_O	M10_O	14490	9932	24965
ɛ	l	['ɛ', 'd']	M07_N	F02_O	14535	19526	16884
e	ɔ	['k', 's']	F01_O	F06_O	14587	22576	25716
m	y	['t', 'a']	F06_O	M07_N	14683	20854	23011
b	z	['o', 'a']	M04_O	F01_N	14852	12069	21096
n	ʃ	['ə', 'ə']	M02_O	M10_N	14870	3751	25761
e	t	['u', 'd']	M07_O	F06_O	14882	13112	25820
d	i	['s', 'ɛ']	M07_N	F03_O	14888	20838	4753
e	ʒ	['ə', 't']	M04_O	M01_O	14989	4685	12079
ʒ	ɡ	['i', 'a']	F01_O	F03_O	15074	15257	20761
t	o	['ɛ', 's']	F01_O	M10_O	15090	10939	23695
l	ʃ	['ə', 'ə']	M02_O	F01_O	15267	1269	25667
ʁ	ʃ	['e', 'ɛ']	F01_O	F06_N	15400	5053	24779
t	y	['u', 's']	M10_O	F01_N	15468	12549	17190
l	ɲ	['i', 'k']	M10_N	M08_N	15481	2321	21491
a	ʒ	['a', 'd']	M04_O	F02_O	15581	17623	17493
e	k	['i', 'k']	M10_O	F10_O	15878	9610	7869
l	ø	['d', 'a']	F02_N	M04_O	16166	702	11190
s	ɲ	['ɛ', 'd']	M01_O	F02_O	16293	2583	22062
m	l	['ɔ', 'ɔ']	M02_O	F05_N	16503	14738	3411
ʒ	z	['o', 'ɛ']	F10_O	M10_N	17089	4580	2823
k	j	['ɛ', 'ɔ']	F01_O	M08_N	17109	8509	15024
o	t	['ɛ', 'f']	M04_O	M01_O	17827	14942	19784
m	ɲ	['a', 'd']	F06_N	M04_O	17931	17283	25355
d	ɛ	['t', 'i']	F10_O	F03_O	18101	8212	16951
ɛ	f	['e', 'a']	M07_N	F01_N	18259	14517	22236
l	o	['ɛ', 't']	F06_O	F01_N	18281	15485	24935
j	i	['ʒ', 'a']	M07_N	F03_O	18478	25089	8398
l	ɛ	['i', 't']	F06_N	F03_O	18526	23373	17686
j	ɲ	['a', 'd']	F06_N	F02_N	18536	16369	15117
l	ɔ	['i', 'b']	F10_O	F02_O	18771	13191	17353
u	t	['s', 'f']	F05_N	M07_N	19181	1172	25664
j	ɲ	['i', 'd']	M08_N	F02_N	20397	16856	22504
b	j	['ɛ', 'ɛ']	F01_N	M08_N	20470	22031	24237
ʁ	o	['t', 'f']	F06_O	M08_N	21502	438	24875
z	ɛ	['i', 'p']	F02_O	M10_N	21701	7216	2784
ɔ	o	['z', 'p']	F02_N	F02_O	21764	23380	7531
d	z	['o', 'ɛ']	F10_O	M08_N	21961	13447	5140
p	z	['ɛ', 'ɔ']	M07_N	F06_O	22155	13737	24381
o	ɛ	['f', 'a']	F06_O	M07_N	22734	15551	22846
ɛ	l	['i', 't']	F06_N	F08_O	23373	18526	658
o	ɔ	['z', 'p']	F02_N	F10_O	23380	21764	547
m	o	['a', 'k']	F02_O	F06_O	23805	8575	20688
e	z	['i', 'p']	F02_O	F01_N	24771	23354	15210
k	z	['o', 'ɛ']	F02_O	M01_O	24975	10222	10320
n	z	['ɛ', 'ɔ']	M07_N	F01_N	25358	17716	25543
ɔ	i	['b', 't']	F02_N	F03_O	25393	22872	17592
z	ʃ	['a', 'e']	F03_O	F01_N	25395	23	15975
e	l	['ʒ', 'a']	F03_O	F06_N	25414	7988	24557
a	ʃ	['ɛ', 'a']	F06_N	F05_N	25444	2502	20717
d	ɲ	['i', 'd']	F01_N	F06_N	25568	18416	12997
f	e	['i', 'k']	M02_O	F06_N	25877	21129	18602
